No,Daerah,Level,SD,SMP,SMA,SMK
1,Provinsi D.K.I. Jakarta,Provinsi,815,272,337,192
2,Kab. Kepulauan Seribu,Kabupaten/Kota,1,0,0,0
3,Kota Jakarta Pusat,Kabupaten/Kota,57,25,17,42
4,Kota Jakarta Utara,Kabupaten/Kota,162,57,23,42
5,Kota Jakarta Barat,Kabupaten/Kota,235,46,44,19
6,Kota Jakarta Selatan,Kabupaten/Kota,139,62,24,24
7,Kota Jakarta Timur,Kabupaten/Kota,221,82,229,65
8,Provinsi Jawa Barat,Provinsi,"5,272","1,217",688,"1,595"
9,Kab. Bogor,Kabupaten/Kota,781,130,66,328
10,Kab. Sukabumi,Kabupaten/Kota,374,94,82,248
11,Kab. Cianjur,Kabupaten/Kota,500,160,44,184
12,Kab. Bandung,Kabupaten/Kota,465,100,26,89
13,Kab. Sumedang,Kabupaten/Kota,117,10,0,4
14,Kab. Garut,Kabupaten/Kota,316,112,100,95
15,Kab. Tasikmalaya,Kabupaten/Kota,194,67,78,20
16,Kab. Ciamis,Kabupaten/Kota,78,19,3,19
17,Kab. Kuningan,Kabupaten/Kota,104,24,9,48
18,Kab. Majalengka,Kabupaten/Kota,147,19,3,13
19,Kab. Cirebon,Kabupaten/Kota,231,59,7,129
20,Kab. Indramayu,Kabupaten/Kota,208,64,80,41
21,Kab. Subang,Kabupaten/Kota,126,56,24,67
22,Kab. Purwakarta,Kabupaten/Kota,84,15,5,9
23,Kab. Karawang,Kabupaten/Kota,388,49,7,46
24,Kab. Bekasi,Kabupaten/Kota,267,55,9,89
25,Kab. Bandung Barat,Kabupaten/Kota,202,40,79,38
26,Kab. Pangandaran,Kabupaten/Kota,23,2,1,13
27,Kota Bandung,Kabupaten/Kota,135,5,10,22
28,Kota Bogor,Kabupaten/Kota,46,11,0,10
29,Kota Sukabumi,Kabupaten/Kota,31,1,13,0
30,Kota Cirebon,Kabupaten/Kota,23,19,1,3
31,Kota Bekasi,Kabupaten/Kota,176,33,36,35
32,Kota Depok,Kabupaten/Kota,154,45,3,22
33,Kota Cimahi,Kabupaten/Kota,24,7,1,8
34,Kota Tasikmalaya,Kabupaten/Kota,64,20,0,8
35,Kota Banjar,Kabupaten/Kota,14,1,1,7
36,Provinsi Jawa Tengah,Provinsi,"2,212",464,166,652
37,Kab. Cilacap,Kabupaten/Kota,109,8,8,8
38,Kab. Banyumas,Kabupaten/Kota,92,28,7,12
39,Kab. Purbalingga,Kabupaten/Kota,56,0,1,33
40,Kab. Banjarnegara,Kabupaten/Kota,123,16,2,15
41,Kab. Kebumen,Kabupaten/Kota,111,3,9,25
42,Kab. Purworejo,Kabupaten/Kota,14,14,0,0
43,Kab. Wonosobo,Kabupaten/Kota,46,23,2,1
44,Kab. Magelang,Kabupaten/Kota,58,30,2,34
45,Kab. Boyolali,Kabupaten/Kota,39,2,7,8
46,Kab. Klaten,Kabupaten/Kota,32,1,7,9
47,Kab. Sukoharjo,Kabupaten/Kota,34,4,14,6
48,Kab. Wonogiri,Kabupaten/Kota,40,17,4,20
49,Kab. Karanganyar,Kabupaten/Kota,25,11,0,8
50,Kab. Sragen,Kabupaten/Kota,60,25,7,19
51,Kab. Grobogan,Kabupaten/Kota,86,35,5,44
52,Kab. Blora,Kabupaten/Kota,84,8,5,14
53,Kab. Rembang,Kabupaten/Kota,15,2,6,7
54,Kab. Pati,Kabupaten/Kota,90,4,2,29
55,Kab. Kudus,Kabupaten/Kota,45,4,0,15
56,Kab. Jepara,Kabupaten/Kota,52,18,13,22
57,Kab. Demak,Kabupaten/Kota,130,4,6,58
58,Kab. Semarang,Kabupaten/Kota,53,8,2,30
59,Kab. Temanggung,Kabupaten/Kota,16,7,1,1
60,Kab. Kendal,Kabupaten/Kota,40,11,10,28
61,Kab. Batang,Kabupaten/Kota,80,3,1,5
62,Kab. Pekalongan,Kabupaten/Kota,67,8,9,6
63,Kab. Pemalang,Kabupaten/Kota,141,27,1,14
64,Kab. Tegal,Kabupaten/Kota,121,21,4,65
65,Kab. Brebes,Kabupaten/Kota,221,90,10,98
66,Kota Magelang,Kabupaten/Kota,3,4,2,1
67,Kota Surakarta,Kabupaten/Kota,31,8,6,3
68,Kota Salatiga,Kabupaten/Kota,4,7,0,2
69,Kota Semarang,Kabupaten/Kota,65,10,4,9
70,Kota Pekalongan,Kabupaten/Kota,13,2,0,1
71,Kota Tegal,Kabupaten/Kota,16,1,9,2
72,Provinsi D.I. Yogyakarta,Provinsi,99,14,5,20
73,Kab. Bantul,Kabupaten/Kota,14,0,1,4
74,Kab. Sleman,Kabupaten/Kota,24,1,1,4
75,Kab. Gunungkidul,Kabupaten/Kota,21,4,2,0
76,Kab. Kulon Progo,Kabupaten/Kota,6,4,0,4
77,Kota Yogyakarta,Kabupaten/Kota,34,5,1,8
78,Provinsi Jawa Timur,Provinsi,"2,654","1,792",842,"1,645"
79,Kab. Gresik,Kabupaten/Kota,55,22,15,82
80,Kab. Sidoarjo,Kabupaten/Kota,80,37,13,43
81,Kab. Mojokerto,Kabupaten/Kota,25,16,21,1
82,Kab. Jombang,Kabupaten/Kota,77,25,16,8
83,Kab. Bojonegoro,Kabupaten/Kota,29,9,15,26
84,Kab. Tuban,Kabupaten/Kota,33,16,13,7
85,Kab. Lamongan,Kabupaten/Kota,21,21,34,19
86,Kab. Madiun,Kabupaten/Kota,19,3,2,3
87,Kab. Ngawi,Kabupaten/Kota,28,22,13,10
88,Kab. Magetan,Kabupaten/Kota,29,5,17,9
89,Kab. Ponorogo,Kabupaten/Kota,22,17,5,29
90,Kab. Pacitan,Kabupaten/Kota,34,8,5,6
91,Kab. Kediri,Kabupaten/Kota,36,28,11,16
92,Kab. Nganjuk,Kabupaten/Kota,74,13,1,41
93,Kab. Blitar,Kabupaten/Kota,42,20,7,23
94,Kab. Tulungagung,Kabupaten/Kota,37,10,13,15
95,Kab. Trenggalek,Kabupaten/Kota,14,9,4,15
96,Kab. Malang,Kabupaten/Kota,205,185,37,131
97,Kab. Pasuruan,Kabupaten/Kota,103,18,5,38
98,Kab. Probolinggo,Kabupaten/Kota,132,106,31,45
99,Kab. Lumajang,Kabupaten/Kota,73,50,42,16
100,Kab. Bondowoso,Kabupaten/Kota,83,38,32,60
101,Kab. Situbondo,Kabupaten/Kota,67,115,9,39
102,Kab. Jember,Kabupaten/Kota,184,236,41,383
103,Kab. Banyuwangi,Kabupaten/Kota,77,25,4,20
104,Kab. Pamekasan,Kabupaten/Kota,139,103,88,118
105,Kab. Sampang,Kabupaten/Kota,294,294,112,74
106,Kab. Sumenep,Kabupaten/Kota,102,112,72,104
107,Kab. Bangkalan,Kabupaten/Kota,214,122,34,89
108,Kota Surabaya,Kabupaten/Kota,257,78,31,80
109,Kota Malang,Kabupaten/Kota,12,14,84,35
110,Kota Madiun,Kabupaten/Kota,5,0,0,0
111,Kota Kediri,Kabupaten/Kota,21,2,3,17
112,Kota Mojokerto,Kabupaten/Kota,2,0,0,5
113,Kota Blitar,Kabupaten/Kota,0,0,1,14
114,Kota Pasuruan,Kabupaten/Kota,7,2,0,2
115,Kota Probolinggo,Kabupaten/Kota,16,9,2,20
116,Kota Batu,Kabupaten/Kota,6,2,9,2
117,Provinsi Aceh,Provinsi,"1,060",440,299,169
118,Kab. Aceh Besar,Kabupaten/Kota,32,13,15,19
119,Kab. Pidie,Kabupaten/Kota,60,28,13,22
120,Kab. Aceh Utara,Kabupaten/Kota,94,52,73,24
121,Kab. Aceh Timur,Kabupaten/Kota,214,98,2,9
122,Kab. Aceh Tengah,Kabupaten/Kota,24,7,5,20
123,Kab. Aceh Barat,Kabupaten/Kota,21,5,9,4
124,Kab. Aceh Selatan,Kabupaten/Kota,22,26,16,2
125,Kab. Aceh Tenggara,Kabupaten/Kota,182,46,23,1
126,Kab. Simeulue,Kabupaten/Kota,22,12,16,0
127,Kab. Bireuen,Kabupaten/Kota,81,16,33,2
128,Kab. Aceh Singkil,Kabupaten/Kota,51,11,4,3
129,Kab. Aceh Tamiang,Kabupaten/Kota,19,27,5,7
130,Kab. Nagan Raya,Kabupaten/Kota,35,28,8,0
131,Kab. Aceh Jaya,Kabupaten/Kota,19,3,15,4
132,Kab. Aceh Barat Daya,Kabupaten/Kota,7,2,13,0
133,Kab. Gayo Lues,Kabupaten/Kota,18,21,13,2
134,Kab. Bener Meriah,Kabupaten/Kota,23,4,8,2
135,Kab. Pidie Jaya,Kabupaten/Kota,20,6,9,8
136,Kota Sabang,Kabupaten/Kota,1,0,0,0
137,Kota Banda Aceh,Kabupaten/Kota,21,2,6,12
138,Kota Lhokseumawe,Kabupaten/Kota,10,1,2,8
139,Kota Langsa,Kabupaten/Kota,38,23,4,15
140,Kota Subulussalam,Kabupaten/Kota,46,9,7,5
141,Provinsi Sumatera Utara,Provinsi,"3,767","1,666","1,263","2,283"
